,ETR US Equity
,RSI_30D
2023-01-07,45.6021
2023-01-08,45.6021
2023-01-09,46.5491
2023-01-10,45.7776
2023-01-11,47.0948
2023-01-12,45.0137
2023-01-13,44.7202
2023-01-14,44.7202
2023-01-15,44.7202
2023-01-16,44.7202
2023-01-17,45.1824
2023-01-18,46.0885
2023-01-19,45.4147
2023-01-20,46.0235
2023-01-21,46.0235
2023-01-22,46.0235
2023-01-23,45.2056
2023-01-24,45.9544
2023-01-25,46.2902
2023-01-26,47.7078
2023-01-27,48.0587
2023-01-28,48.0587
2023-01-29,48.0587
2023-01-30,46.6815
2023-01-31,47.5803
2023-02-01,48.9828
2023-02-02,50.9392
2023-02-03,47.4681
2023-02-04,47.4681
2023-02-05,47.4681
2023-02-06,48.569
2023-02-07,47.1119
2023-02-08,44.3344
2023-02-09,42.9619
2023-02-10,46.5963
2023-02-11,46.5963
2023-02-12,46.5963
2023-02-13,46.6554
2023-02-14,47.0494
2023-02-15,49.2278
2023-02-16,50.2715
2023-02-17,51.9188
2023-02-18,51.9188
2023-02-19,51.9188
2023-02-20,51.9188
2023-02-21,49.256
2023-02-22,49.1136
2023-02-23,48.7057
2023-02-24,48.847
2023-02-25,48.847
2023-02-26,48.847
2023-02-27,47.0166
2023-02-28,42.6972
2023-03-01,40.9397
2023-03-02,44.6764
2023-03-03,46.7232
2023-03-04,46.7232
2023-03-05,46.7232
2023-03-06,47.8179
2023-03-07,44.3644
2023-03-08,45.3587
2023-03-09,44.2433
2023-03-10,41.6091
2023-03-11,41.6091
2023-03-12,41.6091
2023-03-13,43.5193
2023-03-14,46.241
2023-03-15,48.2055
2023-03-16,49.3141
2023-03-17,47.5841
2023-03-18,47.5841
2023-03-19,47.5841
2023-03-20,49.6451
2023-03-21,46.0025
2023-03-22,42.9648
2023-03-23,42.8786
2023-03-24,47.4311
2023-03-25,47.4311
2023-03-26,47.4311
2023-03-27,48.4741
2023-03-28,49.1989
2023-03-29,50.5619
2023-03-30,51.5822
2023-03-31,52.5218
2023-04-01,52.5218
